Journal,Title,Link
Presence Journal,"“It Feels Right. Therefore, I Feel Present and Enjoy”: The Effects of Regulatory Fit and the Mediating Roles of Social Presence and Self-Presence in Avatar-Based 3D Virtual Environments",http://www.mitpressjournals.org/doi/abs/10.1162/pres_a_00038#.UziWQJCO0sQ
Presence Journal,"A Longitudinal Study of Task Performance, Head Movements, Subjective Report, Simulator Sickness, and Transformed Social Interaction in Collaborative Virtual Environments",http://www.mitpressjournals.org/doi/abs/10.1162/pres.15.6.699#.UzhZkpCO0sQ
Presence Journal,A Study of Event Traffic During the Shared Manipulation of Objects Within a Collaborative Virtual Environment,http://www.mitpressjournals.org/doi/abs/10.1162/1054746041422280#.UzhYFJCO0sQ
Presence Journal,Acting Rehearsal in Collaborative Multimodal Mixed Reality Environments,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00109#.UzicQZCO0sQ
Presence Journal,Adaptive Generation of Emotional Impact Using Enhanced Virtual Environments,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00092#.UziaxZCO0sQ
Cyberpsych and Behavior,Assessment of the Therapeutic Alliance in Face-to-Face or Videoconference Treatment for Posttraumatic Stress Disorder,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2009.0139
Cyberpsych and Behavior,Characteristics of Social Perception Assessed in Schizophrenia Using Virtual Reality,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2006.9966
Presence Journal,Collaborative Task Performance for Learning Using a Virtual Environment,
Presence Journal,Comparing Group Discussion in Virtual and Physical Environments,http://www.mitpressjournals.org/doi/abs/10.1162/pres.18.4.286#.UzhpYJCO0sQ
Presence Journal,Construction of a Three-Sided Immersive Telecollaboration System,http://www.mitpressjournals.org/doi/abs/10.1162/1054746041382410#.UzhYB5CO0sQ
Cyberpsych and Behavior,Cubes in the Cube: A Comparison of a Puzzle-Solving Task in a Virtual and a Real Environment,http://online.liebertpub.com/doi/pdfplus/10.1089/109493101300117956
Cyberpsych and Behavior,"Determining Sociability, Social Space, and Social Presence in (A)synchronous Collaborative Groups",http://online.liebertpub.com/doi/pdfplus/10.1089/109493104323024429
Cyberpsych and Behavior,Development and Verification of an Alcohol Craving-Induction Tool Using Virtual Reality: Craving Characteristics in Social Pressure Situation,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2007.0149
Presence Journal,Effect of Packet Loss on Collaborative Haptic Interactions in Networked Virtual Environments: An Experimental Study,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00132#.Uzhrn5CO0sQ
Presence Journal,"Effects of Communication Mode on Social Presence, Virtual Presence, and Performance in Collaborative Virtual Environments",http://www.mitpressjournals.org/doi/abs/10.1162/105474605774785253#.UzhYppCO0sQ
Presence Journal,"Effects of Stereoscopic Viewing on Presence, Anxiety, and Cybersickness in a Virtual Reality Environment for Public Speaking",http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00111#.Uzib1pCO0sQ
Cyberpsych and Behavior,Empathy Toward Virtual Humans Depicting a Known or Unknown Person Expressing Pain,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2012.1571
Presence Journal,Equilibrium Theory Revisited: Mutual Gaze and Personal Space in Virtual Environments,
Presence Journal,Evaluation of Auditory and Visual Feedback on Task Performance in a Virtual Assembly Environment,http://www.mitpressjournals.org/doi/abs/10.1162/pres.15.6.613#.UzhZiJCO0sQ
Presence Journal,Exploring Agent Physicality and Social Presence for Medical Team Training,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00145#.UzhrVpCO0sQ
Presence Journal,From Spatial Proximity to Semantic Coherence: A Quantitative Approach to the Study of Group Dynamics in Collaborative Virtual Environments,http://www.mitpressjournals.org/doi/abs/10.1162/1054746053890260#.UzhYaZCO0sQ
Presence Journal,Gender Differences in the Impact of Presentational Factors in Human Character Animation on Decisions in Ethical Dilemmas,http://www.mitpressjournals.org/doi/abs/10.1162/pres.19.3.213#.Uzhs35CO0sQ
Presence Journal,"How Is Believability of a Virtual Agent Related to Warmth, Competence, Personification, and Embodiment?",http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00065#.UziaE5CO0sQ
Presence Journal,Improving Spatial Perception in Telepresence and Teleaction Systems by Displaying Distance Information through Visual and Vibrotactile Feedback,http://www.mitpressjournals.org/doi/abs/10.1162/pres_a_00006#.UzhuDpCO0sQ
Presence Journal,Including Social Interaction in Stroke VR-Based Motor Rehabilitation Enhances Performance: A Pilot Study,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00129#.UzicSJCO0sQ
Presence Journal,Leaving the World Behind: Supporting Group Collaboration Patterns in a Shared Virtual Environment for Product Design,http://www.mitpressjournals.org/doi/abs/10.1162/105474605775196625#.UzhY05CO0sQ
Presence Journal,Leveraging Collaborative Virtual Environment Technology for Inter-Population Research on Persuasion in a Classroom Setting,http://www.mitpressjournals.org/doi/abs/10.1162/pres.18.5.361#.UzhqZJCO0sQ
Presence Journal,Navigating Virtual Reality by Thought: What Is It Like?,http://www.mitpressjournals.org/doi/pdf/10.1162/pres.16.1.100
Presence Journal,Parasocial Interaction with an Avatar in Second Life: A Typology of the Self and an Empirical Test of the Mediating Role of Social Presence,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00001#.UzhtepCO0sQ
Cyberpsych and Behavior,Pilot Study for Assessing the Behaviors of Patients with Schizophrenia towards a Virtual Avatar,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2006.9.531
Presence Journal,Predictors of Smoking Craving During Virtual Reality Exposure,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00125#.UzicRJCO0sQ
Presence Journal,Presence Related Formal Aspects of Hedonic Valence in Mood Management: An Investigation of the Impact of Mediated Experiences on Induced Aggressive Mood,http://www.mitpressjournals.org/doi/abs/10.1162/pres.18.3.222#.UzhpAJCO0sQ
Cyberpsych and Behavior,Real Behavior in Virtual Environments: Psychology Experiments in a Simple Virtual-Reality Paradigm Using Video Games,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2009.0310
Presence Journal,Small-Group Behavior in a Virtual and Real Environment: A Comparative Study,
Presence Journal,Social Inhibition in Immersive Virtual Environments,http://www.mitpressjournals.org/doi/abs/10.1162/105474603321640932#.UzirQpCO0sS
Presence Journal,Social Learning and Adoption of New Behavior in a Virtual Agent Society,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00144#.UzhrUpCO0sQ
Cyberpsych and Behavior,Social Presence in a Home Tele-Application,http://online.liebertpub.com/doi/pdfplus/10.1089/109493101300117974
Presence Journal,Spatial Presence and Emotions during Video Game Playing: Does It Matter with Whom You Play?,http://www.mitpressjournals.org/doi/abs/10.1162/pres.15.4.381#.UzhZY5CO0sQ
Presence Journal,Successes and Failures in Co-Present Situations,http://www.mitpressjournals.org/doi/abs/10.1162/105474605774918679#.UzhYupCO0sQ
Presence Journal,Temporal and Spatial Variations in Presence: Qualitative Analysis of Interviews from an Experiment on Breaks in Presence,http://www.mitpressjournals.org/doi/abs/10.1162/pres.17.3.293#.UzhlgJCO0sQ
Presence Journal,"The Effect of Behavioral Realism and Form Realism of Real-Time Avatar Faces on Verbal Disclosure, Nonverbal Disclosure, Emotion Recognition, and Copresence in Dyadic Interaction",http://www.mitpressjournals.org/doi/abs/10.1162/pres.15.4.359#.UzhZYZCO0sQ
Presence Journal,"The Independent and Interactive Effects of Embodied-Agent Appearance and Behavior on Self-Report, Cognitive, and Behavioral Markers of Copresence in Immersive Virtual Environments",http://www.mitpressjournals.org/doi/abs/10.1162/105474605774785235#.UzhYoJCO0sQ
Presence Journal,The Influence of Intelligent Characters on Users' Navigation Through a Three-Dimensional Virtual Environment,http://www.mitpressjournals.org/doi/abs/10.1162/pres.19.3.253#.Uzhs5JCO0sQ
Presence Journal,The Responses of People to Virtual Humans in an Immersive Virtual Environment,http://www.mitpressjournals.org/doi/abs/10.1162/1054746053890242#.UzhYaZCO0sQ
Presence Journal,The Transfer of Spatial Knowledge in Virtual Environment Training,http://www.mitpressjournals.org/doi/abs/10.1162/105474698565631
Cyberpsych and Behavior,The Unbearable Likeness of Being Digital: The Persistence of Nonverbal Social Norms in Online Virtual Environments,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2006.9984
Presence Journal,The Usability of Collaborative Virtual Environments and Methods for the Analysis of Interaction,http://www.mitpressjournals.org/doi/abs/10.1162/pres.15.6.655#.UzhZjZCO0sQ
Presence Journal,Transatlantic Touch: A Study of Haptic Collaboration over Long Distance,http://www.mitpressjournals.org/doi/abs/10.1162/1054746041422370#.UzhYHJCO0sQ
Presence Journal,Transformed Social Interaction: Decoupling Representation from Behavior and Form in Collaborative Virtual Environments,http://www.mitpressjournals.org/doi/abs/10.1162/1054746041944803#.UzhYKpCO0sQ
Presence Journal,Using Augmented Virtuality for Remote Collaboration,http://www.mitpressjournals.org/doi/abs/10.1162/1054746041422334#.UzhYH5CO0sQ
Presence Journal,Virtual Competitors Influence Rowers,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00004#.UzhteJCO0sQ
Presence Journal,Virtual Fitness: Stimulating Exercise Behavior through Media Technology,http://www.mitpressjournals.org/doi/abs/10.1162/pres.15.6.688#.UzhZkJCO0sQ
Cyberpsych and Behavior,"Virtual Social Interactions in Social Anxiety—The Impact of Sex, Gaze, and Interpersonal Distance",http://online.liebertpub.com/doi/pdf/10.1089/cyber.2009.0432
Cyberpsych and Behavior,VR-Based Conversation Training Program for Patients with Schizophrenia: A Preliminary Clinical Trial,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2007.9989